assay.run.id	plate.order	well	response	bkgrnd.sub	norm	norm.pos	p.enhance	type
4	1	128	0.277993	0.109856	0.396871	0.454142	-65.5449	unknown
4	2	152	0.403148	0.198675	0.680329	0.986432	-1.35683	unknown
4	1	152	0.34532	0.177183	0.640097	0.732467	-32.1245	unknown
4	2	224	0.0974437	0	0	0	-100	unknown
4	1	224	0.336417	0.16828	0.607934	0.695662	-36.5439	unknown
4	2	248	0.15598	0	0	0	-100	unknown
4	1	248	0.116651	0	0	0	-120.077	unknown
4	2	320	0.28276	0.0782859	0.268077	0.388694	-61.1306	unknown
4	1	320	0.237207	0.0690703	0.249526	0.285534	-85.7908	unknown
4	2	344	0.22918	0.0247068	0.0846042	0.12267	-87.7329	unknown
4	1	344	0.388878	0.220741	0.797458	0.912536	-10.5024	unknown
4	2	58	0.0989185	0	0	0	-100	unknown
4	1	58	0.206405	0.0382679	0.138248	0.158198	-101.081	unknown
4	2	82	0.275845	0.0713718	0.244401	0.354365	-64.5635	unknown
4	1	82	0.19358	0.0254434	0.0919176	0.105182	-107.447	unknown
4	2	154	0.205425	9.51625e-4	0.00325868	0.00472487	-99.5275	unknown
4	1	154	0.24315	0.075013	0.270995	0.310101	-82.8409	unknown
4	2	178	0.419604	0.21513	0.736677	1.06813	6.81328	unknown
4	1	178	0.302128	0.133991	0.48406	0.553912	-53.5648	unknown
4	2	250	0.321079	0.116605	0.399295	0.578951	-42.1049	unknown
4	1	250	0.296928	0.128791	0.465275	0.532417	-56.1459	unknown
4	2	274	0.240807	0.0363334	0.124418	0.180398	-81.9603	unknown
4	1	274	0.284153	0.116016	0.419124	0.479606	-62.4872	unknown
4	2	346	0.297214	0.0927406	0.317575	0.460463	-53.9537	unknown
4	1	346	0.113822	0	0	0	-120.077	unknown
4	2	370	0.286387	0.0819136	0.280499	0.406706	-59.3294	unknown
4	1	370	0.256842	0.0887054	0.32046	0.366704	-76.0441	unknown
4	2	60	0.27807	0.0735961	0.252018	0.365409	-63.4591	unknown
4	1	60	0.314511	0.146374	0.528795	0.605103	-47.4179	unknown
4	2	84	0.359305	0.154832	0.530196	0.768749	-23.1251	unknown
4	1	84	0.33349	0.165353	0.597358	0.683561	-37.997	unknown
4	2	156	0.371414	0.16694	0.571659	0.828868	-17.1132	unknown
4	1	156	0.206303	0.0381656	0.137878	0.157775	-101.132	unknown
4	2	180	0.424483	0.220009	0.753385	1.09236	9.23586	unknown
4	1	180	0.350053	0.181916	0.657194	0.752031	-29.7753	unknown
4	2	252	0.273693	0.0692188	0.237028	0.343676	-65.6324	unknown
4	1	252	0.302018	0.133881	0.483664	0.55346	-53.6191	unknown
4	2	276	0.298111	0.0936374	0.320646	0.464915	-53.5085	unknown
4	1	276	0.302115	0.133978	0.484014	0.55386	-53.571	unknown
4	2	348	0.377655	0.173181	0.59303	0.859855	-14.0145	unknown
4	1	348	0.355165	0.187028	0.675662	0.773164	-27.2377	unknown
4	2	372	0.310828	0.106354	0.364192	0.528054	-47.1946	unknown
4	1	372	0.166531	0	0	0	-120.077	unknown
4	2	62	0.313925	0.109451	0.374797	0.543431	-45.6569	unknown
4	1	62	0.257631	0.0894944	0.32331	0.369966	-75.6525	unknown
4	2	86	0.161929	0	0	0	-100	unknown
4	1	86	0.283381	0.115244	0.416335	0.476414	-62.8705	unknown
4	2	158	0.29045	0.0859763	0.294412	0.426878	-57.3122	unknown
4	1	158	0.265997	0.09786	0.353532	0.404549	-71.4998	unknown
4	2	182	0.391996	0.187522	0.642139	0.93106	-6.89403	unknown
4	1	182	0.378011	0.209874	0.758199	0.867612	-15.8968	unknown
4	2	254	0.261865	0.0573916	0.196528	0.284953	-71.5047	unknown
4	1	254	0.275734	0.107597	0.388708	0.444801	-66.6665	unknown
4	2	278	0.289548	0.0850745	0.291324	0.4224	-57.76	unknown
4	1	278	0.290586	0.122449	0.442364	0.5062	-59.2939	unknown
4	2	350	0.208967	0.00449337	0.0153868	0.0223098	-97.769	unknown
4	1	350	0.22405	0.055913	0.201993	0.231142	-92.322	unknown
4	2	374	0.264145	0.0596717	0.204336	0.296274	-70.3726	unknown
4	1	374	0.25232	0.0841835	0.304124	0.348011	-78.2887	unknown
4	2	64	0.157672	0	0	0	-100	unknown
4	1	64	0.323611	0.155474	0.56167	0.642723	-42.9007	unknown
4	2	88	0.18882	0	0	0	-100	unknown
4	1	88	0.205635	0.037498	0.135467	0.155015	-101.463	unknown
4	2	160	0.24921	0.044736	0.153191	0.222117	-77.7883	unknown
4	1	160	0.264183	0.0960458	0.346979	0.39705	-72.4004	unknown
4	2	184	0.169508	0	0	0	-100	unknown
4	1	184	0.262999	0.0948624	0.342703	0.392157	-72.9878	unknown
4	2	256	0.310708	0.106235	0.363783	0.527462	-47.2538	unknown
4	1	256	0.205087	0.0369502	0.133487	0.15275	-101.735	unknown
4	2	280	0.359823	0.15535	0.53197	0.771321	-22.8679	unknown
4	1	280	0.313984	0.145847	0.526891	0.602924	-47.6796	unknown
4	2	352	0.350777	0.146303	0.500992	0.726405	-27.3595	unknown
4	1	352	0.329478	0.161341	0.582866	0.666977	-39.9883	unknown
4	2	376	0.186119	0	0	0	-100	unknown
4	1	376	0.200895	0.0327579	0.118342	0.13542	-103.816	unknown
4	2	18	0.204342	0	0	0	-100	unknown
4	1	18	0.328077	0.15994	0.577804	0.661184	-40.6839	unknown
4	2	90	0.496501	0.292028	1	1.44993	44.9934	unknown
4	1	90	0.33886	0.170723	0.616759	0.70576	-35.3313	unknown
4	2	114	0.279229	0.0747555	0.255988	0.371166	-62.8834	unknown
4	1	114	0.363862	0.195725	0.707083	0.809119	-22.9203	unknown
4	2	186	0.257636	0.0531623	0.182046	0.263954	-73.6046	unknown
4	1	186	0.243116	0.0749793	0.270873	0.309961	-82.8576	unknown
4	2	210	0.244915	0.0404411	0.138484	0.200793	-79.9207	unknown
4	1	210	0.225112	0.0569753	0.205831	0.235533	-91.7947	unknown
4	2	282	0.270444	0.0659708	0.225906	0.327549	-67.2451	unknown
4	1	282	0.285381	0.117244	0.423559	0.484681	-61.8779	unknown
4	2	306	0.247784	0.0433099	0.148308	0.215036	-78.4964	unknown
4	1	306	0.157507	0	0	0	-120.077	unknown
4	2	378	0.331733	0.12726	0.43578	0.631852	-36.8148	positive
4	1	378	0.400038	0.231901	0.837773	0.958668	-4.96298	positive
4	2	20	0.184107	0	0	0	-100	unknown
4	1	20	0.315951	0.147814	0.533999	0.611058	-46.7029	unknown
4	2	92	0.329248	0.124775	0.42727	0.619513	-38.0487	unknown
4	1	92	0.352215	0.184078	0.665006	0.76097	-28.7019	unknown
4	2	116	0.231554	0.0270806	0.092733	0.134457	-86.5543	unknown
4	1	116	0.444943	0.276806	1	1.14431	17.3278	unknown
4	2	188	0.282147	0.0776736	0.26598	0.385654	-61.4346	unknown
4	1	188	0.23626	0.0681231	0.246104	0.281618	-86.261	unknown
4	2	212	0.255884	0.0514105	0.176047	0.255256	-74.4744	unknown
4	1	212	0.151619	0	0	0	-120.077	unknown
4	2	284	0.199153	0	0	0	-100	unknown
4	1	284	0.27227	0.104133	0.376196	0.430483	-68.3857	unknown
4	2	308	0.221773	0.0172996	0.0592397	0.0858936	-91.4106	unknown
4	1	308	0.362615	0.194478	0.702577	0.803962	-23.5396	unknown
4	2	380	0.480029	0.275555	0.943593	1.36815	36.8148	positive
4	1	380	0.420034	0.251897	0.910012	1.04133	4.96298	positive
4	2	22	0.371695	0.167222	0.572623	0.830265	-16.9735	unknown
4	1	22	0.307872	0.139735	0.504812	0.577659	-50.7134	unknown
4	2	94	0.295423	0.0909497	0.311442	0.451571	-54.8429	unknown
4	1	94	0.296446	0.128309	0.463532	0.530423	-56.3854	unknown
4	2	118	0.249461	0.044987	0.15405	0.223363	-77.6637	unknown
4	1	118	0.273531	0.105394	0.380751	0.435695	-67.7599	unknown
4	2	190	0.310488	0.106014	0.363028	0.526367	-47.3633	unknown
4	1	190	0.178564	0.0104272	0.0376696	0.0431055	-114.901	unknown
4	2	214	0.428205	0.223732	0.766132	1.11084	11.0841	unknown
4	1	214	0.219676	0.0515391	0.186192	0.21306	-94.4932	unknown
4	2	286	0.273214	0.0687406	0.235391	0.341301	-65.8699	unknown
4	1	286	0.227787	0.0596496	0.215492	0.246589	-90.4672	unknown
4	2	310	0.205088	6.14735e-4	0.00210506	0.0030522	-99.6948	unknown
4	1	310	0.228705	0.0605685	0.218812	0.250388	-90.011	unknown
4	2	382	0.197305	0	0	0	-100	negative
4	1	382	0.208582	0.0404454	0.146114	0.1672	-100	negative
4	2	24	0.33631	0.131837	0.451453	0.654577	-34.5423	unknown
4	1	24	0.322811	0.154674	0.558781	0.639416	-43.2978	unknown
4	2	96	0.361826	0.157352	0.538827	0.781263	-21.8737	unknown
4	1	96	0.335956	0.167819	0.606267	0.693755	-36.7729	unknown
4	2	120	0.252089	0.0476153	0.163051	0.236413	-76.3587	unknown
4	1	120	0.190462	0.0223253	0.0806532	0.0922919	-108.995	unknown
4	2	192	0.20543	9.56628e-4	0.00327581	0.00474971	-99.525	unknown
4	1	192	0.265288	0.0971507	0.35097	0.401617	-71.8519	unknown
4	2	216	0.293551	0.089077	0.30503	0.442273	-55.7727	unknown
4	1	216	0.301587	0.13345	0.482104	0.551675	-53.8335	unknown
4	2	288	0.258963	0.0544896	0.18659	0.270544	-72.9456	unknown
4	1	288	0.144144	0	0	0	-120.077	unknown
4	2	312	0.216283	0.011809	0.0404381	0.0586326	-94.1367	unknown
4	1	312	0.277978	0.109841	0.396814	0.454077	-65.5527	unknown
4	2	384	0.204474	0	0	0	-100	blank
4	1	384	0.168137	4.16334e-16	1.50406e-15	1.72111e-15	-120.077	blank
