AssayRun	PlateSet	Plate	PlateOrder	Well	WellType	WellNum	Response	Bk_Sub	Norm	NormPos	pEnhanced	Sample	accession	Target
AR-3	PS-3	PLT-6	2	A09	unknown	65	18476.238	18476.236	0.62880915	0.75722283	-25.315222	SPL-525		1
AR-3	PS-3	PLT-6	2	H08	unknown	64	13940.384	13940.383	0.47443864	0.57132715	-44.699215	SPL-524		1
AR-3	PS-3	PLT-6	2	G08	unknown	63	8591.347	8591.346	0.2923927	0.35210434	-67.55835	SPL-523		1
AR-3	PS-3	PLT-6	2	F08	unknown	62	9040.673	9040.672	0.3076848	0.37051934	-65.63815	SPL-522		1
AR-3	PS-3	PLT-6	2	E08	unknown	61	13655.921	13655.92	0.46475738	0.55966884	-45.914867	SPL-521		1
AR-3	PS-3	PLT-6	2	D08	unknown	60	6292.12	6292.119	0.2141422	0.25787374	-77.3841	SPL-520		1
AR-3	PS-3	PLT-6	2	C08	unknown	59	3829.8918	3829.8906	0.13034421	0.15696274	-87.90645	SPL-519		1
AR-3	PS-3	PLT-6	2	B08	unknown	58	8952.396	8952.3955	0.30468047	0.36690146	-66.015396	SPL-518		1
AR-3	PS-3	PLT-6	2	A08	unknown	57	7384.6763	7384.6753	0.2513256	0.30265063	-72.71506	SPL-517		1
AR-3	PS-3	PLT-6	2	H07	unknown	56	5816.144	5816.143	0.19794312	0.23836651	-79.41819	SPL-516		1
AR-3	PS-3	PLT-6	2	G07	unknown	55	11139.167	11139.166	0.3791037	0.45652318	-56.670227	SPL-515		1
AR-3	PS-3	PLT-6	2	F07	unknown	54	8187.437	8187.436	0.2786463	0.33555067	-69.284454	SPL-514		1
AR-3	PS-3	PLT-6	2	E07	unknown	53	13937.847	13937.846	0.47435227	0.5712232	-44.710056	SPL-513		1
AR-3	PS-3	PLT-6	2	D07	unknown	52	14765.01	14765.009	0.50250345	0.6051233	-41.17517	SPL-512		1
AR-3	PS-3	PLT-6	2	C07	unknown	51	14344.473	14344.472	0.48819116	0.5878882	-42.97234	SPL-511		1
AR-3	PS-3	PLT-6	2	B07	unknown	50	10118.398	10118.397	0.34436348	0.4146884	-61.032486	SPL-510		1
AR-3	PS-3	PLT-6	2	A07	unknown	49	1351.919	1351.9178	0.04601036	0.05540647	-98.49607	SPL-509		1
AR-3	PS-3	PLT-6	2	H06	unknown	48	11582.772	11582.771	0.3942011	0.47470376	-54.774475	SPL-508		1
AR-3	PS-3	PLT-6	2	G06	unknown	47	2013.0011	2013.0	0.068509236	0.0825	-95.67094	SPL-507		1
AR-3	PS-3	PLT-6	2	F06	unknown	46	13715.228	13715.227	0.4667758	0.56209946	-45.66142	SPL-506		1
AR-3	PS-3	PLT-6	2	E06	unknown	45	3461.7908	3461.7896	0.11781647	0.14187662	-89.47953	SPL-505		1
AR-3	PS-3	PLT-6	2	D06	unknown	44	3342.0388	3342.0376	0.113740906	0.13696876	-89.99129	SPL-504		1
AR-3	PS-3	PLT-6	2	C06	unknown	43	14535.283	14535.282	0.49468508	0.5957083	-42.15691	SPL-503		1
AR-3	PS-3	PLT-6	2	B06	unknown	42	11925.045	11925.044	0.40584978	0.4887313	-53.311775	SPL-502		1
AR-3	PS-3	PLT-6	2	A06	unknown	41	13466.01	13466.009	0.45829406	0.5518856	-46.726456	SPL-501		1
AR-3	PS-3	PLT-6	2	H05	unknown	40	7280.642	7280.641	0.24778497	0.29838693	-73.15965	SPL-500		1
AR-3	PS-3	PLT-6	2	G05	unknown	39	7569.607	7569.606	0.25761944	0.31022975	-71.92476	SPL-499		1
AR-3	PS-3	PLT-6	2	F05	unknown	38	7008.0044	7008.0034	0.23850618	0.28721324	-74.32477	SPL-498		1
AR-3	PS-3	PLT-6	2	E05	unknown	37	7446.8823	7446.8813	0.2534427	0.30520004	-72.44922	SPL-497		1
AR-3	PS-3	PLT-6	2	D05	unknown	36	8639.042	8639.041	0.29401594	0.35405904	-67.35452	SPL-496		1
AR-3	PS-3	PLT-6	2	C05	unknown	35	3651.6472	3651.646	0.124277934	0.14965762	-88.668175	SPL-495		1
AR-3	PS-3	PLT-6	2	B05	unknown	34	1222.8248	1222.8237	0.04161685	0.050115727	-99.04776	SPL-494		1
AR-3	PS-3	PLT-6	2	A05	unknown	33	18958.639	18958.637	0.6452269	0.77699333	-23.253681	SPL-493		1
AR-3	PS-3	PLT-6	2	H04	unknown	32	15159.229	15159.228	0.51592004	0.62127984	-39.490475	SPL-492		1
AR-3	PS-3	PLT-6	2	G04	unknown	31	6705.589	6705.588	0.22821395	0.27481917	-75.61714	SPL-491		1
AR-3	PS-3	PLT-6	2	F04	unknown	30	16787.0	16786.998	0.5713186	0.68799174	-32.534187	SPL-490		1
AR-3	PS-3	PLT-6	2	E04	unknown	29	7392.7344	7392.7334	0.25159985	0.30298087	-72.680626	SPL-489		1
AR-3	PS-3	PLT-6	2	D04	unknown	28	14408.225	14408.224	0.49036083	0.59050095	-42.699894	SPL-488		1
AR-3	PS-3	PLT-6	2	C04	unknown	27	2635.0544	2635.0532	0.08967982	0.10799399	-93.01259	SPL-487		1
AR-3	PS-3	PLT-6	2	B04	unknown	26	10738.675	10738.674	0.36547357	0.44010958	-58.381733	SPL-486		1
AR-3	PS-3	PLT-6	2	A04	unknown	25	12165.965	12165.964	0.41404912	0.49860507	-52.2822	SPL-485		1
AR-3	PS-3	PLT-6	2	H03	unknown	24	990.2495	990.2484	0.03370152	0.04058395	-100.04167	SPL-484		1
AR-3	PS-3	PLT-6	2	G03	unknown	23	8912.82	8912.819	0.30333355	0.36527947	-66.18453	SPL-483		1
AR-3	PS-3	PLT-6	2	F03	unknown	22	13448.13	13448.129	0.45768556	0.5511528	-46.802864	SPL-482		1
AR-3	PS-3	PLT-6	2	E03	unknown	21	3396.802	3396.8008	0.115604684	0.13921314	-89.757256	SPL-481		1
AR-3	PS-3	PLT-6	2	D03	unknown	20	19652.75	19652.748	0.6688499	0.80544055	-20.287394	SPL-480		1
AR-3	PS-3	PLT-6	2	C03	unknown	19	2143.4011	2143.4	0.07294719	0.08784426	-95.11367	SPL-479		1
AR-3	PS-3	PLT-6	2	B03	unknown	18	8795.998	8795.997	0.29935768	0.3604917	-66.68377	SPL-478		1
AR-3	PS-3	PLT-6	2	A03	unknown	17	19749.629	19749.627	0.672147	0.809411	-19.87338	SPL-477		1
AR-3	PS-3	PLT-6	2	H02	unknown	16	8351.38	8351.379	0.28422582	0.34226963	-68.58385	SPL-476		1
AR-3	PS-3	PLT-6	2	G02	unknown	15	5972.0215	5972.0205	0.20324816	0.24475494	-78.752045	SPL-475		1
AR-3	PS-3	PLT-6	2	F02	unknown	14	10425.038	10425.037	0.35479945	0.4272556	-59.72206	SPL-474		1
AR-3	PS-3	PLT-6	2	E02	unknown	13	12106.8	12106.799	0.41203552	0.49618027	-52.53504	SPL-473		1
AR-3	PS-3	PLT-6	2	D02	unknown	12	13476.84	13476.839	0.45866266	0.5523295	-46.680172	SPL-472		1
AR-3	PS-3	PLT-6	2	C02	unknown	11	20645.256	20645.254	0.7026282	0.846117	-16.045916	SPL-471		1
AR-3	PS-3	PLT-6	2	B02	unknown	10	16339.495	16339.494	0.55608857	0.6696514	-34.4466	SPL-470		1
AR-3	PS-3	PLT-6	2	A02	unknown	9	14029.637	14029.636	0.4774762	0.5749851	-44.31779	SPL-469		1
AR-3	PS-3	PLT-6	2	H01	unknown	8	5728.079	5728.078	0.19494598	0.23475729	-79.79453	SPL-468		1
AR-3	PS-3	PLT-6	2	G01	unknown	7	16465.629	16465.627	0.5603813	0.67482084	-33.90757	SPL-467		1
AR-3	PS-3	PLT-6	2	F01	unknown	6	29382.906	29382.904	1.0000001	1.2042174	21.294472	SPL-466		1
AR-3	PS-3	PLT-6	2	E01	unknown	5	13862.977	13862.976	0.4718042	0.56815475	-45.030014	SPL-465		1
AR-3	PS-3	PLT-6	2	D01	unknown	4	15294.867	15294.866	0.5205363	0.6268388	-38.910824	SPL-464		1
AR-3	PS-3	PLT-6	2	C01	unknown	3	5188.7446	5188.7437	0.17659059	0.21265343	-82.09938	SPL-463		1
AR-3	PS-3	PLT-6	2	B01	unknown	2	1502.892	1502.8909	0.051148485	0.061593886	-97.85089	SPL-462		1
AR-3	PS-3	PLT-6	2	A01	unknown	1	4713.5854	4713.5845	0.1604193	0.19317968	-84.129974	SPL-461		1
AR-3	PS-3	PLT-5	1	H12	blank	96	0.0036	8.6736174E-19	3.4375466E-23	3.6140072E-23	-124.35231			1
AR-3	PS-3	PLT-5	1	G12	negative	95	4700.0	4699.9966	0.18627127	0.19583318	-100.0			1
AR-3	PS-3	PLT-5	1	F12	positive	94	26100.0	26099.996	1.0344006	1.0874999	10.880829			1
AR-3	PS-3	PLT-5	1	E12	positive	93	21900.0	21899.996	0.8679453	0.91249985	-10.880829			1
AR-3	PS-3	PLT-5	1	D12	unknown	92	10510.781	10510.777	0.4165654	0.43794906	-69.89233	SPL-460		1
AR-3	PS-3	PLT-5	1	C12	unknown	91	9545.843	9545.839	0.37832272	0.39774328	-74.892006	SPL-459		1
AR-3	PS-3	PLT-5	1	B12	unknown	90	4001.3284	4001.3247	0.15858136	0.16672187	-103.62006	SPL-458		1
AR-3	PS-3	PLT-5	1	A12	unknown	89	18646.973	18646.969	0.73902065	0.77695704	-27.735893	SPL-457		1
AR-3	PS-3	PLT-5	1	H11	unknown	88	13848.192	13848.188	0.5488344	0.5770079	-52.60004	SPL-456		1
AR-3	PS-3	PLT-5	1	G11	unknown	87	7403.515	7403.5117	0.29341754	0.30847964	-85.99215	SPL-455		1
AR-3	PS-3	PLT-5	1	F11	unknown	86	19447.273	19447.27	0.77073836	0.8103029	-23.589256	SPL-454		1
AR-3	PS-3	PLT-5	1	E11	unknown	85	10559.862	10559.858	0.41851056	0.43999413	-69.638016	SPL-453		1
AR-3	PS-3	PLT-5	1	D11	unknown	84	10012.894	10012.89	0.396833	0.41720375	-72.47205	SPL-452		1
AR-3	PS-3	PLT-5	1	C11	unknown	83	19238.158	19238.154	0.76245064	0.8015898	-24.672756	SPL-451		1
AR-3	PS-3	PLT-5	1	B11	unknown	82	13454.005	13454.001	0.5332118	0.5605834	-54.64246	SPL-450		1
AR-3	PS-3	PLT-5	1	A11	unknown	81	5372.5347	5372.5312	0.2129253	0.22385547	-96.515366	SPL-449		1
AR-3	PS-3	PLT-5	1	H10	unknown	80	12782.754	12782.75	0.50660866	0.5326146	-58.120445	SPL-448		1
AR-3	PS-3	PLT-5	1	G10	unknown	79	20125.445	20125.441	0.79761577	0.83856004	-20.075413	SPL-447		1
AR-3	PS-3	PLT-5	1	F10	unknown	78	18054.457	18054.453	0.71553797	0.7522689	-30.805922	SPL-446		1
AR-3	PS-3	PLT-5	1	E10	unknown	77	22252.654	22252.65	0.88192177	0.92719376	-9.053605	SPL-445		1
AR-3	PS-3	PLT-5	1	D10	unknown	76	9466.238	9466.234	0.37516782	0.39442644	-75.30447	SPL-444		1
AR-3	PS-3	PLT-5	1	C10	unknown	75	23100.281	23100.277	0.9155151	0.96251154	-4.661755	SPL-443		1
AR-3	PS-3	PLT-5	1	B10	unknown	74	11555.946	11555.942	0.45798758	0.48149762	-64.47696	SPL-442		1
AR-3	PS-3	PLT-5	1	A10	unknown	73	9965.724	9965.72	0.39496353	0.41523832	-72.71646	SPL-441		1
AR-3	PS-3	PLT-5	1	H09	unknown	72	18324.482	18324.479	0.7262396	0.76351994	-29.406826	SPL-440		1
AR-3	PS-3	PLT-5	1	G09	unknown	71	5080.006	5080.0024	0.20133173	0.21166676	-98.03106	SPL-439		1
AR-3	PS-3	PLT-5	1	F09	unknown	70	3890.0317	3890.028	0.15417042	0.1620845	-104.196724	SPL-438		1
AR-3	PS-3	PLT-5	1	E09	unknown	69	14019.66	14019.656	0.55563	0.58415234	-51.711605	SPL-437		1
AR-3	PS-3	PLT-5	1	D09	unknown	68	9214.534	9214.53	0.36519223	0.38393876	-76.608635	SPL-436		1
AR-3	PS-3	PLT-5	1	C09	unknown	67	14024.549	14024.545	0.55582374	0.58435607	-51.686275	SPL-435		1
AR-3	PS-3	PLT-5	1	B09	unknown	66	15941.427	15941.423	0.63179386	0.66422594	-41.754265	SPL-434		1
AR-3	PS-3	PLT-5	1	A09	unknown	65	8167.512	8167.509	0.32369643	0.34031287	-82.033615	SPL-433		1
AR-3	PS-3	PLT-5	1	H08	unknown	64	8294.816	8294.8125	0.3287418	0.3456172	-81.37401	SPL-432		1
AR-3	PS-3	PLT-5	1	G08	unknown	63	7647.94	7647.9365	0.30310464	0.318664	-84.7257	SPL-431		1
AR-3	PS-3	PLT-5	1	F08	unknown	62	7752.9727	7752.969	0.3072673	0.32304037	-84.18149	SPL-430		1
AR-3	PS-3	PLT-5	1	E08	unknown	61	10137.794	10137.79	0.40178308	0.42240793	-71.824905	SPL-429		1
AR-3	PS-3	PLT-5	1	D08	unknown	60	3613.6357	3613.632	0.14321624	0.15056801	-105.62883	SPL-428		1
AR-3	PS-3	PLT-5	1	C08	unknown	59	12772.569	12772.565	0.506205	0.53219026	-58.173218	SPL-427		1
AR-3	PS-3	PLT-5	1	B08	unknown	58	12835.526	12835.522	0.5087002	0.53481346	-57.847015	SPL-426		1
AR-3	PS-3	PLT-5	1	A08	unknown	57	8727.782	8727.778	0.3459012	0.36365744	-79.13066	SPL-425		1
AR-3	PS-3	PLT-5	1	H07	unknown	56	12012.596	12012.592	0.4760856	0.5005247	-62.110905	SPL-424		1
AR-3	PS-3	PLT-5	1	G07	unknown	55	2514.1333	2514.1296	0.099640526	0.1047554	-111.32574	SPL-423		1
AR-3	PS-3	PLT-5	1	F07	unknown	54	25231.957	25231.953	0.99999815	1.0513314	6.383197	SPL-422		1
AR-3	PS-3	PLT-5	1	E07	unknown	53	3311.2922	3311.2886	0.13123369	0.13797036	-107.19537	SPL-421		1
AR-3	PS-3	PLT-5	1	D07	unknown	52	21705.738	21705.734	0.8602463	0.9044056	-11.887366	SPL-420		1
AR-3	PS-3	PLT-5	1	C07	unknown	51	10536.647	10536.644	0.41759053	0.43902683	-69.7583	SPL-419		1
AR-3	PS-3	PLT-5	1	B07	unknown	50	7996.634	7996.6304	0.31692415	0.3331929	-82.919	SPL-418		1
AR-3	PS-3	PLT-5	1	A07	unknown	49	19411.705	19411.701	0.7693287	0.8088209	-23.773548	SPL-417		1
AR-3	PS-3	PLT-5	1	H06	unknown	48	10980.087	10980.083	0.435165	0.45750347	-67.46069	SPL-416		1
AR-3	PS-3	PLT-5	1	G06	unknown	47	6001.731	6001.7275	0.23786174	0.25007197	-93.25528	SPL-415		1
AR-3	PS-3	PLT-5	1	F06	unknown	46	12953.065	12953.062	0.51335853	0.53971094	-57.238003	SPL-414		1
AR-3	PS-3	PLT-5	1	E06	unknown	45	14083.83	14083.826	0.55817324	0.5868261	-51.37912	SPL-413		1
AR-3	PS-3	PLT-5	1	D06	unknown	44	8619.277	8619.273	0.3416009	0.3591364	-79.69286	SPL-412		1
AR-3	PS-3	PLT-5	1	C06	unknown	43	20515.432	20515.428	0.8130718	0.8548095	-18.054758	SPL-411		1
AR-3	PS-3	PLT-5	1	B06	unknown	42	2089.3782	2089.3745	0.082806535	0.08705728	-113.526535	SPL-410		1
AR-3	PS-3	PLT-5	1	A06	unknown	41	14263.885	14263.881	0.56530917	0.5943284	-50.446194	SPL-409		1
AR-3	PS-3	PLT-5	1	H05	unknown	40	14642.909	14642.905	0.5803307	0.6101211	-48.482334	SPL-408		1
AR-3	PS-3	PLT-5	1	G05	unknown	39	11431.843	11431.839	0.4530691	0.47632664	-65.11999	SPL-407		1
AR-3	PS-3	PLT-5	1	F05	unknown	38	14487.666	14487.662	0.5741781	0.6036526	-49.286705	SPL-406		1
AR-3	PS-3	PLT-5	1	E05	unknown	37	10772.916	10772.912	0.42695436	0.44887134	-68.53411	SPL-405		1
AR-3	PS-3	PLT-5	1	D05	unknown	36	13310.932	13310.928	0.5275415	0.554622	-55.383774	SPL-404		1
AR-3	PS-3	PLT-5	1	C05	unknown	35	5166.5127	5166.5093	0.2047602	0.21527122	-97.58283	SPL-403		1
AR-3	PS-3	PLT-5	1	B05	unknown	34	22884.729	22884.725	0.9069723	0.9535302	-5.778609	SPL-402		1
AR-3	PS-3	PLT-5	1	A05	unknown	33	13002.34	13002.336	0.51531136	0.541764	-56.982697	SPL-401		1
AR-3	PS-3	PLT-5	1	H04	unknown	32	4960.998	4960.9946	0.19661519	0.2067081	-98.64768	SPL-400		1
AR-3	PS-3	PLT-5	1	G04	unknown	31	9954.124	9954.12	0.39450383	0.41475502	-72.77656	SPL-399		1
AR-3	PS-3	PLT-5	1	F04	unknown	30	3654.4922	3654.4885	0.14483547	0.15227036	-105.41714	SPL-398		1
AR-3	PS-3	PLT-5	1	E04	unknown	29	6305.3384	6305.335	0.24989437	0.26272228	-91.68218	SPL-397		1
AR-3	PS-3	PLT-5	1	D04	unknown	28	17677.32	17677.316	0.7005912	0.73655486	-32.76	SPL-396		1
AR-3	PS-3	PLT-5	1	C04	unknown	27	1714.3557	1714.3522	0.067943566	0.07143134	-115.46966	SPL-395		1
AR-3	PS-3	PLT-5	1	B04	unknown	26	12622.4795	12622.476	0.50025666	0.5259365	-58.950882	SPL-394		1
AR-3	PS-3	PLT-5	1	A04	unknown	25	13430.211	13430.207	0.5322688	0.55959195	-54.765747	SPL-393		1
AR-3	PS-3	PLT-5	1	H03	unknown	24	8558.933	8558.929	0.3392093	0.35662204	-80.00553	SPL-392		1
AR-3	PS-3	PLT-5	1	G03	unknown	23	13738.992	13738.988	0.54450655	0.57245785	-53.165844	SPL-391		1
AR-3	PS-3	PLT-5	1	F03	unknown	22	5553.615	5553.612	0.22010192	0.23140049	-95.577126	SPL-390		1
AR-3	PS-3	PLT-5	1	E03	unknown	21	17241.193	17241.19	0.6833065	0.7183829	-35.019722	SPL-389		1
AR-3	PS-3	PLT-5	1	D03	unknown	20	1996.3942	1996.3906	0.07912137	0.08318294	-114.00832	SPL-388		1
AR-3	PS-3	PLT-5	1	C03	unknown	19	14670.134	14670.13	0.58140975	0.6112554	-48.341274	SPL-387		1
AR-3	PS-3	PLT-5	1	B03	unknown	18	10631.303	10631.299	0.42134193	0.44297078	-69.26786	SPL-386		1
AR-3	PS-3	PLT-5	1	A03	unknown	17	17497.238	17497.234	0.69345415	0.7290515	-33.693066	SPL-385		1
AR-3	PS-3	PLT-5	1	H02	unknown	16	12176.145	12176.141	0.4825674	0.5073392	-61.2635	SPL-384		1
AR-3	PS-3	PLT-5	1	G02	unknown	15	20723.799	20723.795	0.8213299	0.8634915	-16.975136	SPL-383		1
AR-3	PS-3	PLT-5	1	F02	unknown	14	10600.085	10600.081	0.42010468	0.44167006	-69.42961	SPL-382		1
AR-3	PS-3	PLT-5	1	E02	unknown	13	5488.0503	5488.047	0.21750343	0.22866862	-95.91684	SPL-381		1
AR-3	PS-3	PLT-5	1	D02	unknown	12	7612.608	7612.6045	0.30170435	0.31719184	-84.90877	SPL-380		1
AR-3	PS-3	PLT-5	1	C02	unknown	11	13073.664	13073.66	0.5181381	0.54473585	-56.61314	SPL-379		1
AR-3	PS-3	PLT-5	1	B02	unknown	10	8272.625	8272.621	0.3278623	0.34469256	-81.48899	SPL-378		1
AR-3	PS-3	PLT-5	1	A02	unknown	9	3296.8916	3296.888	0.13066296	0.13737033	-107.26999	SPL-377		1
AR-3	PS-3	PLT-5	1	H01	unknown	8	3833.2175	3833.2139	0.15191875	0.15971725	-104.491104	SPL-376		1
AR-3	PS-3	PLT-5	1	G01	unknown	7	19030.244	19030.24	0.75421053	0.79292667	-25.75003	SPL-375		1
AR-3	PS-3	PLT-5	1	F01	unknown	6	14036.958	14036.954	0.55631554	0.5848731	-51.62198	SPL-374		1
AR-3	PS-3	PLT-5	1	E01	unknown	5	3439.4175	3439.4138	0.13631159	0.14330891	-106.53152	SPL-373		1
AR-3	PS-3	PLT-5	1	D01	unknown	4	17629.35	17629.346	0.69869	0.7345561	-33.008553	SPL-372		1
AR-3	PS-3	PLT-5	1	C01	unknown	3	12860.453	12860.449	0.5096881	0.5358521	-57.71786	SPL-371		1
AR-3	PS-3	PLT-5	1	B01	unknown	2	12854.506	12854.502	0.50945234	0.53560424	-57.748672	SPL-370		1
AR-3	PS-3	PLT-5	1	A01	unknown	1	8071.9805	8071.977	0.31991032	0.33633238	-82.528595	SPL-369		1
